timestamp,usdtBalance,bitcoinBalance,bitcoinValue,assetValue
1469232000.0,4656.519513958789,21.32106004559885,13969.558541876366,18626.078055835154
1470009600.0,8799.201480818645,14.496213312716055,8799.201480818645,17598.40296163729
1470268800.0,12863.939693704226,7.4418255777532245,4287.979897901409,17151.919591605634
1471392000.0,17122.896471852397,0.0,0.0,17122.896471852397
1471910400.0,12842.172353889298,7.335031045173233,4280.724117963099,17122.896471852397
1472083200.0,17081.820297999428,0.0,0.0,17081.820297999428
1472947200.0,12811.365223499572,7.006489047579749,4270.455074499857,17081.820297999428
1473033600.0,8527.948144261693,14.07716762010844,8527.948144261693,17055.896288523385
1473465600.0,4329.784830754854,20.799606873121796,12989.354492264561,17319.139323019415
1474502400.0,8359.015342193099,14.034612730344357,8359.015342193099,16718.030684386198
1475020800.0,4211.436415058083,20.893516198402924,12634.309245174249,16845.745660232333
1477612800.0,0.0,27.030847027691884,18548.567230402172,18548.567230402172
1483833600.0,6088.022521811904,20.27313527076891,18264.06756543571,24352.090087247616
1484179200.0,11255.644702330901,13.894142330984941,11255.644702330901,22511.289404661802
1484870400.0,5915.431097416838,19.87489449238494,17746.293292250513,23661.724389667354
1485043200.0,0.0,26.313108573160772,24176.484157020117,24176.484157020117
1489104000.0,7317.675494196012,19.73483142987058,21953.026482588037,29270.701976784047
1489363200.0,0.0,25.644761565709715,31753.34377066177,31753.34377066177
1489795200.0,6227.830346232604,19.233571174282286,18683.49103869781,24911.321384930416
1489881600.0,12948.040114526835,12.661881590579734,12948.040114526835,25896.08022905367
1490486400.0,18916.85109632612,6.504659616369617,6305.617032108707,25222.468128434826
1491004800.0,12990.780952832582,11.960943700241767,12990.780952832582,25981.561905665163
1491264000.0,6661.946617442158,17.503800886605774,19985.839852326473,26647.78646976863
1491350400.0,0.0,23.399850640957624,26439.49123921802,26439.49123921802
1497484800.0,14288.53379763475,17.549887980718218,42865.601392904246,57154.135190539
1498003200.0,0.0,22.886209237677715,61280.113854805844,61280.113854805844
1498435200.0,13995.489104070864,17.16465692825829,41986.4673122126,55981.95641628346
1499212800.0,0.0,22.490388160067287,59102.49104584083,59102.49104584083
1499472000.0,14421.399147939146,16.867791120050462,43264.19744381743,57685.59659175658
1499731200.0,26813.60302413622,11.536205749746685,26813.60302413622,53627.20604827244
1500249600.0,39433.92370921535,5.885484569000232,13144.641236405118,52578.56494562047
1500595200.0,13794.545869936966,15.46994041710998,41383.6376098109,55178.183479747866
1500681600.0,0.0,20.33316829299116,57675.03186306943,57675.03186306943
1505001600.0,21583.14981380279,15.249876219743369,64749.44944140837,86332.59925521116
1505433600.0,39109.07005934286,10.530742113022473,39109.07005934286,78218.14011868573
1506556800.0,20822.96291718499,14.889143090751014,62468.888751554965,83291.85166873995
1506643200.0,0.0,19.879308667146958,82952.37920627082,82952.37920627082
1510444800.0,29213.141069089135,14.909481500360219,87639.4232072674,116852.56427635654
1510790400.0,0.0,18.62914752644845,146307.73592846817,146307.73592846817
1513987200.0,67048.63059112878,13.971860644836338,201145.89177338633,268194.5223645151
1514764800.0,127449.44988744443,9.479389946183641,127449.44988744443,254898.89977488885
1515024000.0,0.0,17.87521407694987,271347.5372095067,271347.5372095067
1515542400.0,67224.21133988923,13.406410557712404,201672.6340196677,268896.8453595569
1515801600.0,129415.65615641323,9.054984967773557,129415.65615641323,258831.31231282646
1516579200.0,170847.19262570952,5.241611829814616,56949.064208569835,227796.25683427934
1517875200.0,211213.89364947783,0.0,0.0,211213.89364947783
1518652800.0,158410.42023710837,5.260724837592726,52803.47341236946,211213.89364947783
1519084800.0,108767.06423468087,9.677904404840495,108767.06423468087,217534.12846936175
1519516800.0,201531.713535958,0.0,0.0,201531.713535958
1519689600.0,151148.7851519685,4.755618853733057,50382.92838398949,201531.713535958
1519776000.0,100146.43741228027,9.691059272131554,100146.43741228025,200292.87482456054
1520467200.0,142704.96648232779,5.114873350621068,47568.32216077593,190273.28864310373
1520553600.0,189848.75415500219,0.0,0.0,189848.75415500219
1523577600.0,142386.56561625164,6.017469449850464,47462.188538750546,189848.75415500219
1523923200.0,94988.1622536695,12.010743020720419,94988.1622536695,189976.324507339
1524873600.0,51829.35882016379,16.62547329674644,155488.07646049137,207317.43528065516
1525996800.0,95810.66297059842,11.394772185887566,95810.66297059841,191621.32594119682
1526256000.0,145987.54229115433,5.610093738491767,48662.51409705144,194650.05638820576
1526515200.0,191221.72810461343,0.0,0.0,191221.72810461343
1530576000.0,143416.29607846006,7.339438401190352,47805.43202615336,191221.72810461343
1531267200.0,190308.70196750533,0.0,0.0,190308.70196750533
1531785600.0,142731.526475629,6.49783877244965,47577.17549187633,190308.70196750533
1531872000.0,95354.48441794413,12.914362156393103,95354.48441794413,190708.96883588826
1532390400.0,50981.38176668524,18.19247594862088,152944.14530005574,203925.52706674096
1533254400.0,92975.68041475178,12.53210411305456,92975.68041475178,185951.36082950357
1533600000.0,132939.6205234743,6.589422421323455,44313.2068411581,177252.8273646324
1533772800.0,176026.5358520241,0.0,0.0,176026.5358520241
1535155200.0,132019.90188901807,6.5342154129307515,44006.633963006025,176026.5358520241
1535500800.0,88974.77772402481,12.658061163452619,88974.77772402481,177949.55544804962
1536019200.0,45589.90598934912,18.53876217797999,136769.71796804736,182359.62395739648
1536278400.0,123051.96089445107,6.418082006939611,41017.32029815036,164069.28119260143
1536364800.0,162743.3054499677,0.0,0.0,162743.3054499677
1537574400.0,122057.47908747577,6.045801587388838,40685.82636249193,162743.3054499677
1537920000.0,161162.3283348655,0.0,0.0,161162.3283348655
1538092800.0,120871.74625114913,6.071516287479864,40290.58208371638,161162.3283348655
1538265600.0,80578.73556091776,12.144130630714638,80578.73556091776,161157.47112183552
1538524800.0,119707.73165961188,6.131500233545995,39902.577219870625,159610.3088794825
1538611200.0,160078.75549732542,0.0,0.0,160078.75549732542
1538784000.0,80039.37774866271,12.13398082995963,80039.37774866271,160078.75549732542
1539302400.0,156377.89134418772,0.0,0.0,156377.89134418772
1539648000.0,117283.41850814079,5.8303838509905495,39094.47283604693,156377.89134418772
1539820800.0,77806.47249146888,11.835304070742593,77806.47249146888,155612.94498293777
1540339200.0,155099.29278626753,0.0,0.0,155099.29278626753
1541548800.0,116324.46958970065,5.906024583273709,38774.82319656688,155099.29278626753
1541808000.0,154283.0801888591,0.0,0.0,154283.0801888591
1545264000.0,115712.31014164432,9.462897460062507,38570.77004721478,154283.0801888591
1545955200.0,152254.2349734217,0.0,0.0,152254.2349734217
1546041600.0,114190.67623006628,10.268576330893337,38063.558743355425,152254.2349734217
1546128000.0,153365.29493242435,0.0,0.0,153365.29493242435
1546214400.0,115023.97119931827,10.33626023969,38341.32373310609,153365.29493242435
1546300800.0,154398.92095639335,0.0,0.0,154398.92095639335
